,character,line,gender
219,SAM WILSON,"My wingman, Riley. Flying a night mission.Standard PJ rescue op, nothing we hadn't done a thousand times before, till RPG knock Riley's dumb ass out of the sky. Nothing I could do. It's like I was up there just to watch.",MALE
220,STEVE ROGERS,I'm sorry.,MALE
221,SAM WILSON,"After that, I had really hard time finding a reason for being over there, you know?",MALE
222,STEVE ROGERS,"But you're happy now, back in the world?",MALE
223,SAM WILSON,"Hey, the number of people giving me orders is down to about zero. So, hell, yeah. You thinking about getting out?",MALE
224,STEVE ROGERS,"No. I don't know. To be honest, I don't know what I would do with myself if I did.",MALE
225,SAM WILSON,"Ultimate fighting?  It's just a great idea off the top of my head. But seriously, you could do whatever you want to do. What makes you happy?",MALE
226,STEVE ROGERS,I don't know.,MALE
227,FURY'S CAR,Activating communications encryption protocol.,MALE
228,NICK FURY,Open secure line zero-four-zero-five.,MALE
229,FURY'S CAR,Confirmed.,MALE
230,MARIA HILL,This is Hill.,FEMALE
231,NICK FURY,I need you here in D.C. Deep shadow conditions.,MALE
232,MARIA HILL,Give me four hours.,FEMALE
233,NICK FURY,"You have three, over.  Want to see my lease?",MALE
234,FURY'S CAR,Fracture detected. Recommend anesthetic injection.  D.C. Metro Police dispatch shows no units in this area.,MALE
235,NICK FURY,Get me out of here!,MALE
236,FURY'S CAR,Propulsion systems offline.,MALE
237,NICK FURY,"Then reboot, dammit!",MALE
